City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description,Date
237,Taltal,-25.4,-70.4833,67.48,76,19,5.12,CL,few clouds,2021-01-31 23:54:22
238,Vila Franca Do Campo,37.7167,-25.4333,62.01,94,75,17.27,PT,broken clouds,2021-01-31 23:54:22
239,Bilma,18.6853,12.9164,57.83,29,5,2.48,NE,clear sky,2021-01-31 23:54:22
240,Newark,40.7357,-74.1724,25.0,80,90,9.22,US,snow,2021-01-31 23:49:22
241,Poronaysk,49.2167,143.1167,-8.66,85,1,2.48,RU,clear sky,2021-01-31 23:54:22
242,Nabire,-3.3667,135.4833,79.09,85,100,4.07,ID,light rain,2021-01-31 23:54:22
243,Dingle,10.9995,122.6711,76.39,85,91,10.92,PH,overcast clouds,2021-01-31 23:44:23
244,Nakhon Thai,17.1006,100.8374,64.4,82,37,3.15,TH,scattered clouds,2021-01-31 23:54:22
245,Portoferraio,42.8115,10.3146,48.0,98,17,4.0,IT,few clouds,2021-01-31 23:54:23
246,Ribeira Grande,38.5167,-28.7,63.12,85,99,28.83,PT,overcast clouds,2021-01-31 23:54:23
247,Kloulklubed,7.0419,134.2556,77.0,88,90,6.91,PW,overcast clouds,2021-01-31 23:54:23
248,Vestmannaeyjar,63.4427,-20.2734,33.06,87,86,16.75,IS,overcast clouds,2021-01-31 23:45:00
249,Shenzhen,22.5455,114.0683,64.0,93,10,4.54,CN,clear sky,2021-01-31 23:50:58
250,Marawi,7.9986,124.2928,73.99,93,100,5.01,PH,overcast clouds,2021-01-31 23:45:10
251,Boffa,10.1667,-14.0333,72.55,80,80,3.29,GN,broken clouds,2021-01-31 23:54:23
252,Aksha,50.2814,113.2867,-20.34,77,20,8.59,RU,few clouds,2021-01-31 23:54:23
253,Najran,17.4924,44.1277,53.6,40,0,2.21,SA,clear sky,2021-01-31 23:54:24
254,Xinyang,32.1228,114.0656,45.43,82,58,4.65,CN,broken clouds,2021-01-31 23:54:24
255,Tommot,58.9564,126.2925,-37.5,77,100,8.72,RU,overcast clouds,2021-01-31 23:54:24
256,Xining,36.6167,101.7667,10.98,64,0,3.13,CN,clear sky,2021-01-31 23:44:57
257,Sioux Lookout,50.1001,-91.917,26.6,100,90,2.3,CA,light snow,2021-01-31 23:54:24
258,Warrnambool,-38.3833,142.4833,64.0,85,77,3.0,AU,broken clouds,2021-01-31 23:54:24
